Model,auuc,qini,lift_30,krcc,latency_ms
TARNet,0.1777455796043561,0.17036746845620993,0.8864303350448608,0.11746497715954866,0.0006420827633176441
TARNet + ZILN,0.12053304138089542,0.11558509487680553,0.9302498579025269,0.05735523575847271,0.0017558851521912733
TARNet + ZILN + Focal,0.17781362189486,0.17245560323187004,1.0021371364593505,0.09539134997365388,0.0017560347541014823
TARNet + ZILN + Focal + WR,0.155258770095058,0.14786618996136744,1.1089799761772157,0.0827264721906858,0.001253914379432486
TARNet + ZILN + Focal + GTI,-0.0656976423591192,-0.06880195278938275,0.5042076647281647,-0.01111239716672628,0.001983680421411454
TARNet + ZILN + Focal + GTI + WR,0.07816546871477906,0.07280285480438078,0.9783050775527954,0.08208144034161931,0.0013401159720318268
TARNet + RERUM + UpliftRank,0.18556769292382852,0.18029059615954585,1.232588267326355,0.10093761445206795,0.0011355557844517303
TARNet + RERUM + UpliftRank + RespRank,0.18581643417154808,0.1804664089176498,1.2855083465576171,0.09541311761863068,0.0011397097890399695
DragonNet,0.1669473644378388,0.16043875433574373,0.9251740455627442,0.10403487573758508,0.0006792704450953218
DragonNet + ZILN,0.09829893517885928,0.0926372611339464,0.9831155300140381,0.07740648775542229,0.0012144656205554335
DragonNet + ZILN + Focal,0.11336786675709679,0.10602938593728398,0.8200788497924805,0.05517561269019422,0.001229897002506261
DragonNet + ZILN + Focal + WR,0.1359287681864178,0.13264997636476222,0.9778296470642089,0.06503125377111488,0.0012215010304101694
DragonNet + ZILN + Focal + GTI,0.11415353687702567,0.10616099457411357,1.072199559211731,0.0814431405960687,0.0021029859482388684
DragonNet + ZILN + Focal + GTI + WR,0.11193954097266272,0.10474391284861125,1.046056604385376,0.058392490656131134,0.0013750149881787842
DragonNet + RERUM + UpliftRank,0.13337675066682267,0.1262779999624685,1.0493324160575868,0.08388930199626718,0.0010622014989258518
DragonNet + RERUM + UpliftRank + RespRank,0.13095674402396734,0.1238865311645337,1.0231691956520081,0.07316748881759089,0.0011728247305820942
CFR-MMD,0.17833848610521458,0.17088189522926625,0.8573427319526672,0.10432179327550369,0.0007341472598563486
CFR-MMD + ZILN,0.12156563558295126,0.11750006559167492,0.9154910683631897,0.06802479522752926,0.0011443692737863405
CFR-MMD + ZILN + Focal,0.05992769940662472,0.05372701487837652,0.6867071866989136,0.03599491761432058,0.001175474988302626
CFR-MMD + ZILN + Focal + WR,0.1642827739487608,0.15689520238578067,1.1500329494476318,0.09266768002219979,0.0011093864170950293
CFR-MMD + ZILN + Focal + GTI,0.09429556230785421,0.0856013158009119,1.0525133848190307,0.07031451901799697,0.001410083466021898
CFR-MMD + ZILN + Focal + GTI + WR,0.13300405160696255,0.12704826133923314,0.9585172772407532,0.055097580327919136,0.001256035035278428
CFR-MMD + RERUM + UpliftRank,0.1883645304846436,0.1830125544700048,1.327275848388672,0.08714985303535978,0.0010459850585289611
CFR-MMD + RERUM + UpliftRank + RespRank,0.19000451404269816,0.1846020398721692,1.3267398595809936,0.08231481288010666,0.001247405854683038
CFR-WASS,0.3010798428797564,0.292193,0.0942610867427928,1.3192551136016846,0.038070063897398296,0.0012956745666117774
CFR-WASS + ZILN + Focal + GTI + WR,0.0333833275358051,0.028831549286542458,0.8828577041625977,0.03747817106969546,0.0013778687122178949
CFR-WASS + RERUM + UpliftRank,0.10677452892811195,1.525665318965912,0.12514123072428346,0.0006675130679952068
CFR-WASS + ZILN,0.051387824940405724,0.04633655905082331,0.8692035913467407,0.07192553191543734,0.0012773952226861178
CFR-WASS + ZILN + Focal,0.05629175093633493,0.0532837236212104,0.8870002508163453,0.040062700478827575,0.0012244392975410165
CFR-WASS + ZILN + Focal + WR,0.13233350400413782,0.13006861050981824,0.9895381212234498,0.08743741346880715,0.0012023317560574543
CFR-WASS + ZILN + Focal + GTI,0.0960782134663793739805808,0.10371275024532182,0.9939982414245605,0.04354066362243282,0.0011774110533168923
CFR-WASS + RERUM + UpliftRank + RespRank,0.10781929067336024,0.1047299450268833,0.9930819988250732,0.04873362731805755,0.001041372411779948
